BitStringLength,Iterations
5000,8109
10000,8012
20000,7956
40000,7921
80000,7873
160000,7886
320000,7866
5000,8004
10000,7934
20000,7877
40000,7853
80000,7844
160000,7871
320000,7888
5000,7939
10000,7895
20000,7851
40000,7835
80000,7866
160000,7852
320000,7866
5000,7934
10000,7879
20000,7849
40000,7871
80000,7876
160000,7853
320000,7851
5000,8140
10000,7983
20000,7936
40000,7920
80000,7801
160000,7888
320000,7853
5000,7987
10000,7924
20000,7895
40000,7811
80000,7855
160000,7863
320000,7854
5000,7960
10000,7921
20000,7856
40000,7873
80000,7842
160000,7848
320000,7878
5000,7924
10000,7857
20000,7864
40000,7847
80000,7848
160000,7885
320000,7847
5000,8079
10000,8075
20000,7947
40000,7908
80000,7850
160000,7824
320000,7900
5000,7941
10000,7937
20000,7864
40000,7860
80000,7856
160000,7827
320000,7841
5000,7941
10000,7884
20000,7841
40000,7811
80000,7847
160000,7834
320000,7853
5000,7897
10000,7853
20000,7822
40000,7818
80000,7821
160000,7873
320000,7838
5000,8088
10000,8037
20000,7920
40000,7943
80000,7856
160000,7860
320000,7852
5000,7993
10000,7960
20000,7888
40000,7855
80000,7870
160000,7846
320000,7874
5000,7919
10000,7904
20000,7846
40000,7857
80000,7874
160000,7853
320000,7883
5000,7887
10000,7849
20000,7893
40000,7805
80000,7841
160000,7884
320000,7877
